iter	Logloss
0	0.3835212201
1	0.2654518785
2	0.2074403158
3	0.175812519
4	0.1585350922
5	0.1482932763
6	0.1422072197
7	0.1383384765
8	0.1347997237
9	0.1328849634
10	0.1313796001
11	0.1304602089
12	0.1291363795
13	0.1283480729
14	0.1274630512
15	0.1267527881
16	0.1262607162
17	0.125796041
18	0.1253508085
19	0.1250069315
20	0.1246880228
21	0.1244085219
22	0.1239732889
23	0.1237646746
24	0.1236239706
25	0.1234238929
26	0.1232962955
27	0.1231704876
28	0.1229545664
29	0.1228659757
30	0.1227781012
31	0.1225313456
32	0.1224581729
33	0.1223288582
34	0.122251595
35	0.1221802187
36	0.1220308422
37	0.1219259863
38	0.1218263788
39	0.1217792572
40	0.1216734288
41	0.1215916913
42	0.1215670447
43	0.1215451266
44	0.1215322034
45	0.1215131041
46	0.1214409825
47	0.1213612053
48	0.1213275464
49	0.1213022472
50	0.1212838575
51	0.1212414043
52	0.1212077412
53	0.1211830744
54	0.1211513877
55	0.1211350855
56	0.1211153249
57	0.1210759528
58	0.1210058874
59	0.1209837013
60	0.1209485966
61	0.1208609714
62	0.1208457246
63	0.1208258592
64	0.1208069628
65	0.1207874132
66	0.1207613468
67	0.1206828225
68	0.1205977902
69	0.1205724598
70	0.1205537473
71	0.1205351016
72	0.1205162069
73	0.1204847693
74	0.1204672627
75	0.1204465128
76	0.1204266016
77	0.1204099329
78	0.1203941907
79	0.1203460935
80	0.1203264741
81	0.1203126409
82	0.120294221
83	0.1202774552
84	0.1202535313
85	0.12023899
86	0.1202197441
87	0.1201946519
88	0.1201785529
89	0.1201498642
90	0.1201387208
91	0.1200870962
92	0.1200692949
93	0.1200534464
94	0.1199864957
95	0.119963875
96	0.1199262811
97	0.1199085904
98	0.1198586732
99	0.1198429369
