iter	Passed	Remaining
0	218	21618
1	278	13646
2	333	10794
3	390	9368
4	449	8543
5	505	7913
6	561	7456
7	618	7110
8	695	7037
9	754	6786
10	812	6576
11	871	6392
12	946	6333
13	1008	6192
14	1074	6091
15	1135	5962
16	1194	5829
17	1261	5746
18	1319	5623
19	1376	5505
20	1432	5388
21	1490	5283
22	1558	5218
23	1616	5117
24	1672	5018
25	1737	4944
26	1795	4853
27	1858	4777
28	1927	4719
29	1992	4648
30	2050	4564
31	2123	4512
32	2182	4431
33	2240	4348
34	2310	4291
35	2371	4216
36	2433	4143
37	2493	4068
38	2558	4002
39	2617	3925
40	2683	3860
41	2739	3782
42	2801	3713
43	2865	3647
44	2936	3589
45	3008	3531
46	3067	3458
47	3131	3392
48	3191	3321
49	3254	3254
50	3319	3189
51	3380	3120
52	3439	3050
53	3508	2988
54	3574	2924
55	3633	2854
56	3700	2791
57	3762	2724
58	3829	2660
59	3891	2594
60	3960	2531
61	4021	2464
62	4080	2396
63	4148	2333
64	4211	2267
65	4279	2204
66	4338	2136
67	4400	2070
68	4463	2005
69	4524	1938
70	4591	1875
71	4650	1808
72	4716	1744
73	4775	1678
74	4842	1614
75	4912	1551
76	4984	1488
77	5046	1423
78	5111	1358
79	5171	1292
80	5238	1228
81	5303	1164
82	5369	1099
83	5431	1034
84	5488	968
85	5548	903
86	5608	838
87	5665	772
88	5726	707
89	5797	644
90	5855	579
91	5928	515
92	5988	450
93	6055	386
94	6113	321
95	6176	257
96	6236	192
97	6296	128
98	6352	64
99	6412	0
